Allele List,Frequency
L0A0,0
L0A1,1
L1A0,0.5
L1A1,0.5
L2A0,0.5
L2A1,0.5
L3A0,0.5
L3A1,0.5
L4A0,0.5
L4A1,0.5
L5A0,0.5
L5A1,0.5
L6A0,0.5
L6A1,0.5
L7A0,0.5
L7A1,0.5
L8A0,0.5
L8A1,0.5
L9A0,0.5
L9A1,0.5
L10A0,0.5
L10A1,0.5
L11A0,0.5
L11A1,0.5
L12A0,0.5
L12A1,0.5
L13A0,0.5
L13A1,0.5
L14A0,0.5
L14A1,0.5
L15A0,0.5
L15A1,0.5
L16A0,0.5
L16A1,0.5
L17A0,0.5
L17A1,0.5
L18A0,0.5
L18A1,0.5
L19A0,0.5
L19A1,0.5
L20A0,0.5
L20A1,0.5
L21A0,0.5
L21A1,0.5
L22A0,0.5
L22A1,0.5
L23A0,0.5
L23A1,0.5
L24A0,0.5
L24A1,0.5
L25A0,0.5
L25A1,0.5
L26A0,0.5
L26A1,0.5
L27A0,0.5
L27A1,0.5
L28A0,0.5
L28A1,0.5
L29A0,0.5
L29A1,0.5
L30A0,0.5
L30A1,0.5
L31A0,0.5
L31A1,0.5
L32A0,0.5
L32A1,0.5
L33A0,0.5
L33A1,0.5
L34A0,0.5
L34A1,0.5
L35A0,0.5
L35A1,0.5
L36A0,0.5
L36A1,0.5
L37A0,0.5
L37A1,0.5
L38A0,0.5
L38A1,0.5
L39A0,0.5
L39A1,0.5
L40A0,0.5
L40A1,0.5
L41A0,0.5
L41A1,0.5
L42A0,0.5
L42A1,0.5
L43A0,0.5
L43A1,0.5
L44A0,0.5
L44A1,0.5
L45A0,0.5
L45A1,0.5
L46A0,0.5
L46A1,0.5
L47A0,0.5
L47A1,0.5
L48A0,0.5
L48A1,0.5
L49A0,0.5
L49A1,0.5
L50A0,0.5
L50A1,0.5
L51A0,0.5
L51A1,0.5
L52A0,0.5
L52A1,0.5
L53A0,0.5
L53A1,0.5
L54A0,0.5
L54A1,0.5
L55A0,0.5
L55A1,0.5
L56A0,0.5
L56A1,0.5
L57A0,0.5
L57A1,0.5
L58A0,0.5
L58A1,0.5
L59A0,0.5
L59A1,0.5
L60A0,0.5
L60A1,0.5
L61A0,0.5
L61A1,0.5
L62A0,0.5
L62A1,0.5
L63A0,0.5
L63A1,0.5
L64A0,0.5
L64A1,0.5
L65A0,0.5
L65A1,0.5
L66A0,0.5
L66A1,0.5
L67A0,0.5
L67A1,0.5
L68A0,0.5
L68A1,0.5
L69A0,0.5
L69A1,0.5
L70A0,0.5
L70A1,0.5
L71A0,0.5
L71A1,0.5
L72A0,0.5
L72A1,0.5
L73A0,0.5
L73A1,0.5
L74A0,0.5
L74A1,0.5
L75A0,0.5
L75A1,0.5
L76A0,0.5
L76A1,0.5
L77A0,0.5
L77A1,0.5
L78A0,0.5
L78A1,0.5
L79A0,0.5
L79A1,0.5
L80A0,0.5
L80A1,0.5
L81A0,0.5
L81A1,0.5
L82A0,0.5
L82A1,0.5
L83A0,0.5
L83A1,0.5
L84A0,0.5
L84A1,0.5
L85A0,0.5
L85A1,0.5
L86A0,0.5
L86A1,0.5
L87A0,0.5
L87A1,0.5
L88A0,0.5
L88A1,0.5
L89A0,0.5
L89A1,0.5
L90A0,0.5
L90A1,0.5
L91A0,0.5
L91A1,0.5
L92A0,0.5
L92A1,0.5
L93A0,0.5
L93A1,0.5
L94A0,0.5
L94A1,0.5
L95A0,0.5
L95A1,0.5
L96A0,0.5
L96A1,0.5
L97A0,0.5
L97A1,0.5
L98A0,0.5
L98A1,0.5
L99A0,0.5
L99A1,0.5
