PatchID,X,Y,SubpatchNO,K,K StDev,N0,Natal Grounds,Migration Grounds,Genes Initialize,Class Vars,Mortality Out %,Mortality Out StDev,Mortality Back,Mortality Back StDev,Mortality Eggs,Mortality Eggs StDev,Migration,Set Migration,Straying,GrowthTemperatureOut,GrowthTemperatureOutStDev,GrowDaysOut,GrowDaysOutStDev,GrowthTemperatureBack,GrowthTemperatureBackStDev,GrowDaysBack,GrowDaysBackStDev,Capture Probability Out,Capture Probability Back,HabitatOut,HabitatBack,Fitness_AA,Fitness_Aa,Fitness_aa,Fitness_BB,Fitness_Bb,Fitness_bb,Fitness_AABB,Fitness_AaBB,Fitness_aaBB,Fitness_AABb,Fitness_AaBb,Fitness_aaBb,Fitness_AAbb,Fitness_Aabb,Fitness_aabb,comp_coef
1,-75.97500154,44.36753269,1,600,0,0,1,1,Highdisp_hindex1.csv;Lowdisp_hindex0.csv,ClassVars_0310_Disp_lessmobile.csv;ClassVars_0310_Disp_mobile.csv,N,0,0,0,0,0,0,Y,1,8,0.2,150,20,N,0,150,20,N,N,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,-75.92500154,44.36753269,1,600,0,0,1,1,Highdisp_hindex1.csv;Lowdisp_hindex0.csv,ClassVars_0310_Disp_lessmobile.csv;ClassVars_0310_Disp_mobile.csv,N,0,0,0,0,0,0,Y,1,8,0.2,150,20,N,0,150,20,N,N,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,-75.87500154,44.36753269,1,600,0,0,1,1,Highdisp_hindex1.csv;Lowdisp_hindex0.csv,ClassVars_0310_Disp_lessmobile.csv;ClassVars_0310_Disp_mobile.csv,N,0,0,0,0,0,0,Y,1,8,0.2,150,20,N,0,150,20,N,N,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,-73.32500154,44.36753269,1,600,0,0,1,1,Highdisp_hindex1.csv;Lowdisp_hindex0.csv,ClassVars_0310_Disp_lessmobile.csv;ClassVars_0310_Disp_mobile.csv,N,0,0,0,0,0,0,Y,1,8,0.2,150,20,N,0,150,20,N,N,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,-73.27500154,44.36753269,1,600,0,0,1,1,Highdisp_hindex1.csv;Lowdisp_hindex0.csv,ClassVars_0310_Disp_lessmobile.csv;ClassVars_0310_Disp_mobile.csv,N,0,0,0,0,0,0,Y,1,8,0.2,150,20,N,0,150,20,N,N,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,-75.87500154,44.41753269,2,600,0,0,1,1,Highdisp_hindex1.csv;Lowdisp_hindex0.csv,ClassVars_0310_Disp_lessmobile.csv;ClassVars_0310_Disp_mobile.csv,N,0,0,0,0,0,0,Y,1,8,0.2,150,20,N,0,150,20,N,N,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,-75.82500154,44.41753269,2,600,0,0,1,1,Highdisp_hindex1.csv;Lowdisp_hindex0.csv,ClassVars_0310_Disp_lessmobile.csv;ClassVars_0310_Disp_mobile.csv,N,0,0,0,0,0,0,Y,1,8,0.2,150,20,N,0,150,20,N,N,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,-73.32500154,44.41753269,2,600,0,0,1,1,Highdisp_hindex1.csv;Lowdisp_hindex0.csv,ClassVars_0310_Disp_lessmobile.csv;ClassVars_0310_Disp_mobile.csv,N,0,0,0,0,0,0,Y,1,8,0.2,150,20,N,0,150,20,N,N,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,-73.27500154,44.41753269,2,600,0,0,1,1,Highdisp_hindex1.csv;Lowdisp_hindex0.csv,ClassVars_0310_Disp_lessmobile.csv;ClassVars_0310_Disp_mobile.csv,N,0,0,0,0,0,0,Y,1,8,0.2,150,20,N,0,150,20,N,N,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,-73.22500154,44.41753269,2,600,0,0,1,1,Highdisp_hindex1.csv;Lowdisp_hindex0.csv,ClassVars_0310_Disp_lessmobile.csv;ClassVars_0310_Disp_mobile.csv,N,0,0,0,0,0,0,Y,1,8,0.2,150,20,N,0,150,20,N,N,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,-75.82500154,44.46753269,2,600,0,0,1,1,Highdisp_hindex1.csv;Lowdisp_hindex0.csv,ClassVars_0310_Disp_lessmobile.csv;ClassVars_0310_Disp_mobile.csv,N,0,0,0,0,0,0,Y,1,8,0.2,150,20,N,0,150,20,N,N,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,-75.77500154,44.46753269,2,600,0,0,1,1,Highdisp_hindex1.csv;Lowdisp_hindex0.csv,ClassVars_0310_Disp_lessmobile.csv;ClassVars_0310_Disp_mobile.csv,N,0,0,0,0,0,0,Y,1,8,0.2,150,20,N,0,150,20,N,N,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,-73.37500154,44.46753269,2,600,0,0,1,1,Highdisp_hindex1.csv;Lowdisp_hindex0.csv,ClassVars_0310_Disp_lessmobile.csv;ClassVars_0310_Disp_mobile.csv,N,0,0,0,0,0,0,Y,1,8,0.2,150,20,N,0,150,20,N,N,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
