Run p Disp_sta Disp_mob Diff_disp Landscape Gendiv_t0 Gendiv_t50 Gendiv_loss Colon_npatches Colon_t Colon_rate Colon_sdrate Colon_meanrate Colon_CV gendivlossSouth gendivlossNortheast gendivlossNorthwest Meangendivloss sdgendivloss cvgendivloss Ae_t0 Ae_t50 Ae_loss AelossSouth AelossNortheast AelossNorthwest MeanAeloss sdAeloss CVAeloss
LHS_1 0.51 1.82 9.34 97.26 Patchy_25 0.4915 0.425002655 0.066497345 171 44 3.886363636 1.39971219 3.136363636 0.446285046 -0.008838469 0.033585666 0.072126131 0.032291109 0.040497821 1.254147717 1.987054341 1.848620715 0.138433626 0.012379822 0.153810018 0.263981908 0.143390583 0.126124248 0.879585295
LHS_10 0.69 0.01 36.56 96.75 Continuous 0.4921 0.377835006 0.114264994 201 50 4.02 0.288290177 1.946212121 0.148128857 0.051645311 0.0724964 0.157575499 0.093905737 0.056116583 0.597584188 1.989418284 1.893375401 0.096042883 0.139591142 0.204376773 0.361852802 0.235273572 0.114306695 0.485845878
LHS_100 0.34 3.46 11.14 51.19 Continuous 0.5007 0.476505523 0.024194477 229 30 7.633333333 2.346689206 5.790277778 0.405280938 -0.002707603 0.005286905 0.021363651 0.007980984 0.012259685 1.536111873 1.989141278 1.946257431 0.042883846 -0.000980293 0.037089696 0.088032446 0.041380616 0.044661235 1.079279124
LHS_101 0.78 1.25 14.38 20.6 Continuous 0.4882 0.398548405 0.089651595 229 36 6.361111111 2.7052095 5.37962963 0.502861663 0.007760409 0.053687119 0.136666906 0.066038145 0.065334769 0.989348956 1.987151081 1.778388736 0.208762345 0.008582206 0.166423257 0.37957012 0.184858528 0.186179759 1.007147255
LHS_102 0.46 2.51 11.9 35.9 Patchy_25 0.4901 0.451342312 0.038757688 171 32 5.34375 1.810533336 4.246527778 0.426356174 0.007330202 0.027099846 0.072131119 0.035520389 0.033210975 0.934983433 1.990657843 1.883827864 0.106829979 -0.000734961 0.074917145 0.215568902 0.096583695 0.109767572 1.136502096
LHS_103 0.3 2.54 37.68 35.07 Patchy_50 0.4889 0.489105733 -0.000205733 114 10 11.4 3.781974793 9.133333333 0.414084831 -0.000289716 0.000997631 0.00435594 0.001687951 0.002398528 1.420969929 1.988899949 1.95996033 0.028939619 -0.001361693 0.004242382 0.01395532 0.005612003 0.007749814 1.380935468
LHS_104 0.59 2.12 35.15 20.67 Continuous 0.4948 0.489672322 0.005127678 229 12 19.08333333 9.028728582 15.15277778 0.595846433 0.001188465 0.004154672 0.007950968 0.004431368 0.003389732 0.76494014 1.989994309 1.963420969 0.02657334 -0.004588399 0.003511425 0.01902814 0.005983722 0.012000809 2.005575963
LHS_105 0.56 1.59 17.03 2.73 Continuous 0.4963 0.481911406 0.014388594 229 24 9.541666667 4.057814249 8.069444444 0.502861663 0.003111224 0.011809326 0.018600562 0.011173704 0.007764207 0.694864227 1.992021952 1.949570215 0.042451737 -0.003570374 0.031141296 0.054150816 0.027240579 0.029057626 1.06670369
LHS_106 0.48 0.39 40.85 55.1 Continuous 0.4958 0.483970443 0.011829557 229 12 19.08333333 1.943799496 10.90277778 0.178284795 -0.003031484 0.003752627 0.01077481 0.003831984 0.006903489 1.801544178 1.990370587 1.952112802 0.038257786 -0.001913598 0.018404354 0.043877432 0.020122729 0.022943828 1.14019461
LHS_107 0.28 0.38 36.77 16.18 Patchy_50 0.4934 0.477956339 0.015443661 114 12 9.5 5.246030245 7.583333333 0.691784208 -0.007585961 -0.000991032 0.008436145 -0.0000469493 0.008052667 -171.5183037 1.988514341 1.936016782 0.052497559 0.00308065 0.0290424 0.067591092 0.033238047 0.032459234 0.976568611
LHS_108 0.33 1.02 18.75 80.15 Patchy_25 0.4963 0.480238597 0.016061403 171 20 8.55 2.531962348 6.583333333 0.384601876 -0.0027841 0.006036033 0.014379184 0.005877039 0.008582746 1.460386224 1.988358163 1.944606199 0.043751964 -0.002563911 0.029573428 0.059612832 0.028874116 0.03109427 1.076890781
